"Location or Address","Location - Remarks","Property Owner",Public,Private,"New Tag #","Old Tag #","DBH ("")","General Condition of Crown","Foliage Quality","Structural Quality","Deadwood Present","Quality Tree",Remarks,Maintenance Performed
125 Court St South side,"","Tenney, A","",X,3 04,"",15 12 12 12,G,G,VP,G,"","Damage, Bad crotches",REMOVED by Owner
117 Court St South side,"",Clements,X,"",3 05,"",43,G,VG,F,G,"",Old damage,Pruned
113 Court St South side,"",Tarlin,X,"",3 06,219,38,F,P,G,F,"",Medium DW,CHECK OVERHANG
116 Court St North side,"",Ball,X,"",3 07,220,6,G,G,F,G,"","",""
120 Court St North side,"",King,X,"",3 08,"",41,G,P,G,G,"",Small DW,""
120 Court St North side,"",King,X,"",3 09,39,44,G,G,G,G,,Small DW,Pruned
120 Court St North side,"",King,X,"",3 10,"",29,F,P,G,F,"",Medium DW,Pruned
120 Court St North side,"",King,X,"",3 11,37,32,F,P,G,F,"",Medium DW,Pruned
Court St North side,6th Fairway,Golf Club,X,"",3 12,221,35,G,G,G,G,"",Small DW,""
Court St North side,6th Fairway,Golf Club,X,"",3 13,7,36,G,G,G,G,"","",Pruned
State St West side,6th Fairway,Golf Club,X,"",3 14,"",35,G,F,G,G,"","",Pruned
State St West side,6th Fairway,Golf Club,X,"",3 15,"",11,G,G,G,G,"","",""
State St West side,6th Fairway,Golf Club,X,"",3 16,"",7 8 10 10 6,G,G,P,G,"",Clump,""
State St West side,6th Fairway,Golf Club,X,"",3 17,"",18,G,G,G,G,"","",""
State St East side,Eaton's Lane,Haugen,X,"",3 18,"",6,G,G,G,G,"",Needs pruning,Pruned
State St East side,Eaton's Lane,Haugen,X,"",3 19,"",22,F,P,G,G,"","",""
State St East side,Court Street,McMennamin,X,"",3 20,"",19,F,F,G,G,"","",""
State St East side,Court Street,McMennamin,X,"",3 21,"",28,F,F,G,G,"","Small  DW, Mediun DW",Pruned
Battle Ave North side,Tennis Court,Golf Club,X,"",3 22,289,49,G,G,G,G,"",Small DW,"Pruned, 1 cable"
Battle Ave South side,3rd Fairway,Golf Club,X,"",3 23,290,25 42,G,G,F,G,"","","Pruned, 1 cable"
Battle Ave South side,3rd Fairway,Golf Club,"",X,3 24,"",14,G,G,F,G,"","",""
Battle Ave South side,3rd Fairway,Golf Club,"",X,3 25,"",14 14 14 14 14,G,G,F,G,"",Clump,""
Battle Ave South side,3rd Fairway,Golf Club,"",X,3 26,"",15,P,P,G,G,"",REMOVE,""
Battle Ave South side,4th Fairway,Golf Club,"",X,3 27,"",13,P,P,G,G,"",REMOVE,""
Battle Ave South side,5th Fairway,Golf Club,"",X,3 28,"",10,G,G,G,G,"",Small DW,""
Battle Ave South side,5th Fairway,Golf Club,"",X,3 29,"",10,G,G,G,G,"","",""
Battle Ave South side,5th Fairway,Golf Club,"",X,3 30,"",7,G,G,F,G,"","",""
Battle Ave South side,5th Fairway,Golf Club,"",X,3 31,"",19,G,G,G,F,"",Small DW,""
Battle Ave South side,4th Fairway,Golf Club,"",X,3 32,"",10,G,G,G,G,"","",""
Battle Ave South side,4th Fairway,Golf Club,"",X,3 33,"",10,G,G,F,G,"","",""
